W 0 0 0 0 1 116 45 188 203 34388 0 0
Re 0 0 0 0 75 30 1143 357 214 200 613 0
Os 0 0 0 0 30 78 59 121 93 80 21 61
Ir 0 0 1 3 15 57 256 423 137 18 0 0
Pt 0 0 6 0 4 644 99 650 11 3 0 0
Au 0 0 0 54 689 52 633 0 22 0 0 0
Hg 0 0 0 0 492 2857 0 0 0 0 0 0
Tl 0 0 3 68 3407 14 1093 0 0 0 0 0
Pb 8 0 0 11 4 9485 5 412 0 0 0 0
Bi 0 151 42 17 157 130 10147 66 270 0 0 0
Po 0 0 2 0 0 1 0 6 0 0 0 0
At 0 0 0 0 0 0 0 0 0 0 0 0
Rn 0 0 0 0 0 0 0 0 0 0 0 0
Fr 0 0 0 0 0 0 0 0 0 0 0 0
Ra 0 0 0 0 0 3 0 0 0 0 0 0
Ac 0 0 0 0 0 0 7 0 0 0 0 0
Th 0 0 0 0 0 29 66 959 5 4 0 0
Pa 0 1 0 0 0 1 5 21 28 0 0 0
U 0 0 0 2 1 66 325 1002 160 4382 0 0
Np 0 0 0 1 0 6 40 114 176 59 21 0
Pu 0 0 0 0 0 13 89 92 3 30 7 0
Am 0 0 0 0 0 6 47 11 2 1 0 0
Cm 0 0 0 0 0 9 61 6 0 0 0 0
Bk 0 0 0 0 0 1 13 5 0 0 0 0
Cf 0 0 0 0 0 1 20 1 0 0 0 0
Es 0 0 0 0 0 0 2 0 0 0 0 0
Fm 0 0 0 0 0 0 0 0 0 0 0 0
Md 0 0 0 0 0 0 0 0 0 0 0 0
No 0 0 0 0 0 0 0 0 0 0 0 0
Lr 0 0 0 0 0 0 0 0 0 0 0 0
Rf 0 0 0 0 0 0 0 0 0 0 0 0
Db 0 0 0 0 0 0 0 0 0 0 0 0
Sg 0 0 0 0 0 0 0 0 0 0 0 0
Bh 0 0 0 0 0 0 0 0 0 0 0 0
Hs 0 0 0 0 0 0 0 0 0 0 0 0
